id;category_code;category_name;category_description;sequence_number
1;Chicken primary Brand;connecting Mills transitional;customer loyalty Computers;86084
2;Accounts;Grass-roots Health;Internal;27514
3;productivity teal;e-enable Gorgeous unleash;Future-proofed Handcrafted Plastic Chicken;77303
4;Intelligent Fresh Pants Handcrafted Soft;Licensed Wooden Chicken;Handcrafted;37222
5;Hawaii Sausages ROI;wireless;transmitter Brand Switchable;54023
6;evolve;cyan;index Dynamic;23607
7;CSS;hybrid Unbranded Wooden Towels;Computers Implementation;20476
8;bottom-line;invoice;Myanmar Dynamic;99529
9;eyeballs Eritrea Nebraska;attitude;Applications;99077
10;back up client-driven;complexity neural program;deposit Cambridgeshire;81660
