id;profile_code;profile_name;profile_description
1;Representative digit;payment XSS Zimbabwe Dollar;user-centric networks multi-state
2;Wooden Personal Loan;asymmetric;experiences neural B2B
3;Kids;orange Car;zero tolerance Missouri
4;COM;cross-media;Specialist Architect cyan
5;next-generation;Coordinator Latvian Lats object-oriented;synthesizing copying B2C
6;Course Tanzanian Shi;executive;Moldova Configuration
7;architecture Borders;New Israeli Sheqel;Arizona Facilitator
8;pink;Lao People's Democratic Republic;Plastic Malagasy Ariary
9;harness Incredible;Frozen;Electronics Views auxiliary
10;Response pink Rustic;Right-sized;Cambridgeshire
