id;category_code;category_name;category_description
1;pink;hard drive overriding;Cotton
2;Phased panel real-ti;Investor Licensed Concrete Bike Accounts;Handcrafted Buckinghamshire
3;Buckinghamshire Plas;Designer revolutionize Salad;neural Fish GB
4;Dynamic;interface heuristic Tasty Granite Fish;Hat copying Music
5;EXE Credit Card Acco;artificial intelligence withdrawal;withdrawal program Park
6;Illinois;violet Automated Customer;Customer-focused Chair Car
7;generating;red;Engineer virtual deposit
8;Oklahoma wireless;Handcrafted Realigned withdrawal;out-of-the-box experiences
9;Steel;withdrawal Technician Oregon;invoice
10;haptic;Cayman Islands Dollar;primary Malaysian Ringgit
