id;role_code;role_name;role_description
1;holistic Fantastic F;engineer;invoice
2;Electronics Buckingh;Brunei Dollar invoice Unbranded;Kwacha aggregate Auto Loan Account
3;emulation Cambridges;Gorgeous Frozen Bacon Bacon;productize
4;Kids Grocery Soap;Kentucky;Markets
5;Incredible Wooden Mo;strategize microchip;Rhode Island Small
6;International;payment;robust
7;concept supply-chain;hacking;Crest
8;Courts deposit gener;Concrete;Dalasi Triple-buffered solutions
9;Macao navigate produ;Orchestrator;Borders
10;Games;XML;Branding
