id;project_type_code;project_type_name;project_type_description
1;relationships;Canada port strategize;salmon access
2;Home Loan Account;Mountains Brand Automotive;leverage
3;GB deposit;HTTP;ivory Cuban Peso Peso Convertible Croatian Kuna
4;mindshare microchip;Facilitator JBOD Facilitator;Face to face Director SSL
5;Metrics Balboa US Do;Loop quantify Ergonomic Soft Sausages;Executive compressing
6;synthesizing;XSS;Savings Account circuit Svalbard & Jan Mayen Islands
7;mobile Cambridgeshir;Plastic;parsing cross-platform
8;Self-enabling paymen;relationships;Assistant
9;invoice Chicken wire;microchip;Architect
10;Interactions;PNG didactic Practical Soft Shoes;Chips Nicaragua Colorado
