id;category_code;category_name;category_description
1;bus;Virginia Saudi Riyal;virtual
2;Oval Stravenue;Towels benchmark;invoice Ball Practical
3;Burkina Faso Savings;Viaduct;extend Metrics Indian Rupee
4;Agent optical Pennsy;back up;Tugrik turquoise Dong
5;Sleek Fresh Fish;bottom-line tan;one-to-one alarm Zloty
6;e-commerce relations;Directives;benchmark Gloves
7;transparent;Distributed;Engineer directional cyan
8;Berkshire Branding;Nebraska Shoes;sensor
9;Plastic alarm;Gorgeous;6th generation Credit Card Account
10;Plastic;Connecticut XSS;Regional Incredible Steel Chips Fresh
