id;skill_code;skill_name;skill_description
1;Cambridgeshire;HDD;European Monetary Unit (E.M.U.-6) bus payment
2;Home Riel quantify;Borders Rubber mobile;application CSS
3;Liechtenstein bluetooth overriding;Cambridgeshire Configuration COM;Refined Rubber Gloves
4;Officer radical Pizza;Frozen web-readiness withdrawal;New Zealand Dollar interfaces bypass
5;Incredible;Uzbekistan Sum;web-enabled Hollow frictionless
6;visionary Analyst;Alaska;Avon generating
7;Bedfordshire Interactions deposit;Shirt Liaison Illinois;Intelligent Cotton Cheese Digitized
8;1080p Director Oregon;transmitting hard drive Concrete;Fully-configurable Investor Credit Card Account
9;engage Hat;asymmetric adapter;Accountability
10;Gorgeous Steel Keyboard Fresh Avon;Cotton SQL Arkansas;real-time SAS New Israeli Sheqel
